"Cliente.x","Rut","Folio","Emisión","Vencimiento","Neto","Impuestos","Total","Monto Pagado","Notas de credito","Notas de debito","Monto Por Pagar","Moneda","Tipo","Estado","Cesión de documento","Fecha de Cesión","Factoring","Compromiso de pago","Fecha proyectada de pago","Pago","Dias de vencida","Extrajudicial","XML","División","Orden de compra","Etiquetas","Nota","Glosa","Id Externo Cliente","Plazo de pago","FechaPago","Dias_Mora","Cliente.y","Giro","Comuna","Dirección","Ciudad","Unidad","Precio Base","CRUT","MRUT","PCRUT","PMRUT","CCRN","CMRN","PCCRN","PCMRN"
"FU",177,5394,2025-11-03,2025-12-01,282368,53650,336018,336018,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","15/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 7,13. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 282368 MontoItem: 282368",NA,30,2025-12-15,0,"FU","ACTIVIDADES DE CONSULTORIA DE INFORMATIC","LAS CONDES","AV. MANQUEHUE SUR N° 520, OFICINA 205","SANTIAGO","UF","7.13",30,20,0.1305,"0.1605",0,0,0,"0"
"FT",176,5393,2025-11-03,2025-12-01,190608,36216,226824,226824,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","28/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 4,813. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 190608 MontoItem: 190608",NA,30,2025-11-28,0,"FT","ALQUILER DE OTROS EFECTOS PERSONALES Y E","PUDAHUEL","AMÉRICO VESPUCIO N° 170","SANTIAGO","UF","2.2000000000000002",10,5,0.1136,"0.1704",10,5,0.012,"1.7999999999999999E-2"
"FS",175,5392,2025-11-03,2025-12-01,159124,30234,189358,189358,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","11/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 4,018. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 159124 MontoItem: 159124",NA,30,2025-11-11,0,"FS","VENTA DE PARTES, PIEZAS Y ACCESORIOS PAR","LAS CONDES","CAMINO EL ALBA 9500 OF B402","SANTIAGO","UF","2.2000000000000002",10,5,0.1136,"0.1704",10,5,0.012,"1.7999999999999999E-2"
"FR",174,5391,2025-11-03,2025-12-01,87126,16554,103680,103680,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","09/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,2. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 87126 MontoItem: 87126",NA,30,2025-12-09,0,"FR","OTRAS ACTIVIDADES DE SERVICIOS DE APOYO","COLINA","HERMANOS CARRERA PINTO 159, PARQUE INDUSTRIAL LOS LIBERTADOR","COLINA","UF","2.2000000000000002",20,0,0.1102,"0",0,0,0,"0"
"FQ",173,5389,2025-11-03,2025-12-01,82374,15651,98025,98025,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","10/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,08. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 82374 MontoItem: 82374",NA,30,2025-12-10,0,"FQ","TRANSPORTE DE CARGA POR CARRETERA","MAIPU","CAMINO A MELIPILLA 11920","SANTIAGO","UF","2.08",15,1,0.1136,"0.1704",10,5,0.012,"1.7999999999999999E-2"
"FP",172,5388,2025-11-03,2025-12-01,424542,80663,505205,505205,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","01/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 10,72. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 424542 MontoItem: 424542",NA,30,2025-12-01,0,"FP","ACTIVIDADES DE PROGRAMACION INFORMATICA,","PROVIDENCIA","AV NUEVA PROVIDENCIA 1945 OF 502","SANTIAGO","UF","10.72",301,0,0.0356,"0",0,0,0,"0"
"FO",171,5387,2025-11-03,2025-12-01,146134,27765,173899,173899,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","25/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 3,69. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 146134 MontoItem: 146134",NA,30,2025-11-25,0,"FO","FONDOS Y SOCIEDADES DE INVERSION Y ENTID","RECOLETA","ANTONIA LÓPEZ DE BELLO 114, OFICINA 114","SANTIAGO","UF","3.69",10,15,0.1136,"0.1704",0,0,0,"0"
"FN",170,5386,2025-11-03,2025-12-01,275200,52288,327488,327488,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","09/01/2026",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 6,949. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 275200 MontoItem: 275200",NA,30,2026-01-09,0,"FN","OTRAS ACTIVIDADES DE SERVICIOS DE INFORM","PUERTO MONTT","KLENNER 565, 801,","PUERTO VARAS","UF","2.36",30,0,0.0665,"0",30,0,0.012,"0"
"FM",169,5385,2025-11-03,2025-12-01,244230,46404,290634,290634,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","26/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 6,167. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 244230 MontoItem: 244230",NA,30,2025-12-26,0,"FM","OTRAS ACTIVIDADES DE TECNOLOGIA DE LA IN","PROVIDENCIA","BELLOTAS 199 OF 62","SANTIAGO","UF","4.76",650,20,0.007,"1.0500000000000001E-2",0,0,0,"0"
"FL",168,5383,2025-11-03,2025-12-01,158015,30023,188038,0,0,0,188038,"CLP","Factura Afecta","Vencido",NA,NA,NA,NA,"07/01/2026",NA,50,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 3,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 158015 MontoItem: 158015",NA,30,NA,60,"FL","OTRAS ACTIVIDADES DE TECNOLOGIA DE LA IN","PROVIDENCIA","BELLOTAS 199 OF 62","SANTIAGO","UF","3.99",150,250,0.0076,"1.14E-2",0,0,0,"0"
"FK",167,5382,2025-11-03,2025-12-01,347792,66080,413872,413872,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","03/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 8,782. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 347792 MontoItem: 347792",NA,30,2025-12-03,0,"FK","OTRAS ACTIVIDADES DE TECNOLOGIA DE LA IN","LAS CONDES","APOQUINDO 6410, OF 605.","SANTIAGO","UF","7.3",350,400,0.0077,"1.15E-2",0,0,0,"0"
"FJ",166,5381,2025-11-03,2025-12-01,189974,36095,226069,226069,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","05/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 4,797. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 189974 MontoItem: 189974",NA,30,2025-12-05,0,"FJ","OTRAS ACTIVIDADES DE TECNOLOGIA DE LA IN","PROVIDENCIA","BELLOTAS 199 OF 62","SANTIAGO","UF","3.5",500,20,0.0066,"9.9000000000000008E-3",0,0,0,"0"
"FI",165,5380,2025-11-03,2025-12-01,808807,153673,962480,962480,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","28/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 20,423. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 808807 MontoItem: 808807",NA,30,2025-11-28,0,"FI","VENTA AL POR MAYOR DE MATERIALES DE CONS","SANTIAGO","AMUNATEGUI 29.","SANTIAGO","UF","7.85",20,350,0.0144,"2.1600000000000001E-2",0,0,0,"0"
"FH",164,5379,2025-11-03,2025-12-01,87126,16554,103680,103680,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","04/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,2. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 87126 MontoItem: 87126",NA,30,2025-11-04,0,"FH","SERVICIOS DE PUBLICIDAD PRESTADOS POR EM","PROVIDENCIA","AVENIDA PROVIDENCIA 1650, OFICINA 1603","SANTIAGO","UF","2.2000000000000002",15,0,0.1465,"0",15,0,0,"0"
"FG",163,5378,2025-11-03,2025-12-01,235082,44666,279748,279748,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","27/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 5,936. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 235082 MontoItem: 235082",NA,30,2025-11-27,0,"FG","OTRAS ACTIVIDADES AUXILIARES DE LAS ACTI","LAS CONDES","AVENIDA APOQUINDO 3885, PISO 18","SANTIAGO","UF","2.35",500,0,0.0047,"0",0,0,0,"0"
"FF",162,5377,2025-11-03,2025-12-01,2888745,548862,3437607,3437607,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","20/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 72,943. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 2888745 MontoItem: 2888745",NA,30,2025-11-20,0,"FF","ACTIVIDADES DE CONSULTORIA DE GESTION","LAS CONDES","ISIDORA GOYENECHEA N° 3520, OFICINA N° 1400","SANTIAGO","UF","71.42",3001,0,0.0238,"0",0,0,0,"0"
"FE",161,5376,2025-11-03,2025-12-01,2376958,451622,2828580,2828580,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","21/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 60,02. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 2376958 MontoItem: 2376958",NA,30,2025-11-21,0,"FE","SEGUROS GENERALES, EXCEPTO ACTIVIDADES D","LAS CONDES","AV. MANQUEHUE NORTE N° 160, PISO 19","SANTIAGO","UF","60.02",3001,0,0.02,"0",3001,0,0,"0"
"FD",160,5375,2025-11-03,2025-12-01,78413,14898,93311,93311,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","07/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 1,98. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 78413 MontoItem: 78413",NA,30,2025-11-07,0,"FD","MANIPULACION DE LA CARGA","PROVIDENCIA","PEDRO DE VALDIVIA, 273 OFICINA 1406","SANTIAGO","UF","1.98",20,0,0.0991,"0",0,0,0,"0"
"FC",159,5373,2025-11-03,2025-12-01,125778,23898,149676,149676,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","28/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 3,176. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 125778 MontoItem: 125778",NA,30,2025-11-28,0,"FC","OTRAS ACTIVIDADES DE TELECOMUNICACIONES","LAS CONDES","ALCÁNTARA N°200, OFICINA N°501,","SANTIAGO","UF","3.18",201,0,0.0158,"0",0,0,0,"0"
"FB",158,5372,2025-11-03,2025-12-01,87126,16554,103680,103680,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","05/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,2. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 87126 MontoItem: 87126",NA,30,2025-12-05,0,"FB","REPARACION DE OTRO TIPO DE MAQUINARIA Y","LAS CONDES","CERRO EL PLOMO 3679","SANTIAGO","UF","2.2000000000000002",10,5,0.1136,"0.1704",10,5,0.012,"1.7999999999999999E-2"
"FA",157,5370,2025-11-03,2025-12-01,99799,18962,118761,118761,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","04/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,52. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 99799 MontoItem: 99799",NA,30,2025-12-04,0,"FA","VENTA AL POR MAYOR DE MAQUINARIA METALUR","PROVIDENCIA","GENERAL DEL CANTO 230 OF 701","SANTIAGO","UF","2.52",20,0,0.126,"0",0,0,0,"0"
"EZ",156,5369,2025-11-03,2025-12-01,101383,19263,120646,120646,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","01/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,56. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 101383 MontoItem: 101383",NA,30,2025-12-01,0,"EZ","VENTA AL POR MENOR DE OTROS PRODUCTOS EN","VITACURA","AV. AMERICO VESPUCIO NORTE 2500, OF 001","SANTIAGO","UF","2.56",20,10,0.0636,"9.5399999999999999E-2",50,0,0.0067,"0"
"EY",155,5368,2025-11-03,2025-12-01,352623,66998,419621,419621,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","09/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 8,904. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 352623 MontoItem: 352623",NA,30,2025-12-09,0,"EY","ESTUDIOS DE MERCADO Y ENCUESTAS DE OPINI","LAS CONDES","BADAJOZ 100, OFICINA 1014","SANTIAGO","UF","4.2",100,0,0.042,"0",0,0,0,"0"
"EX",154,5367,2025-11-03,2025-12-01,228112,43341,271453,271453,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","02/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 5,76. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 228112 MontoItem: 228112",NA,30,2025-12-02,0,"EX","FABRICACION SUSTANCIAS QUIMICAS BASICAS,","PADRE HURTADO","AV GENERAL O'HIGGINS 2165","SANTIAGO","UF","5.76",10,61,0.0468,"7.0199999999999999E-2",20,121,0.005,"7.4999999999999997E-3"
"EW",153,5366,2025-11-03,2025-12-01,1164717,221296,1386013,1386013,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","11/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 29,41. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 1164717 MontoItem: 1164717",NA,30,2025-12-11,0,"EW","SERVICIOS DE ASESORAMIENTO Y REPRESENTAC","LAS CONDES","AVENIDA EL BOSQUE NORTE 500 OFICINA 1002","SANTIAGO","UF","14.7",1000,0,0.0147,"0",0,0,0,"0"
"EV",152,5365,2025-11-03,2025-12-01,41583,7901,49484,49484,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","10/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 1,05. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 41583 MontoItem: 41583",NA,30,2025-12-10,0,"EV","ACTIVIDADES DE CONSULTORIA DE GESTION","LO BARNECHEA","CAMINO CERRO AGUAS BLANCAS 10427","SANTIAGO","UF","1.05",12,0,0.0871,"0",0,0,0,"0"
"EU",151,5364,2025-11-03,2025-12-01,78810,14974,93784,93784,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","12/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 1,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 78810 MontoItem: 78810",NA,30,2025-12-12,0,"EU","VENTA AL POR MAYOR NO ESPECIALIZADA","HUECHURABA","AV EL ROSAL 4578","SANTIAGO","UF","1.99",10,5,0.1136,"0.1704",0,0,0,"0"
"ET",150,5363,2025-11-03,2025-12-01,676297,128496,804793,804793,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","18/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 17,077. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 676297 MontoItem: 676297",NA,30,2025-11-18,0,"ET","VENTA AL POR MAYOR DE ENSERES DOMESTICOS","TEMUCO","AVENIDA SAN MARTÍN 0721","TEMUCO","UF","14.95",101,101,0.0545,"8.1799999999999998E-2",201,0,0.0059,"0"
"ES",149,5362,2025-11-03,2025-12-01,87126,16554,103680,103680,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","28/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,2. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 87126 MontoItem: 87126",NA,30,2025-11-28,0,"ES","ACTIVIDADES DE APOYO PARA LA EXPLOTACION","SALAMANCA","CAMINO PÚBLICO PRINCIPAL #48-B","SALAMANCA","UF","2.2000000000000002",10,5,0.1136,"0.1704",10,5,0.012,"1.7999999999999999E-2"
"ER",148,5361,2025-11-03,2025-12-01,171916,32664,204580,204580,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","05/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 4,341. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 171916 MontoItem: 171916",NA,30,2025-12-05,0,"ER","VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO","QUINTA NORMAL","ELOY ROSALES 4578","SANTIAGO","UF","4",35,5,0.0852,"0.1278",35,5,0.009,"1.35E-2"
"EQ",147,5360,2025-11-03,2025-12-01,155243,29496,184739,184739,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","09/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 3,92. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 155243 MontoItem: 155243",NA,30,2025-12-09,0,"EQ","OTRAS ACTIVIDADES DE TRANSPORTE POR VIA","LAS CONDES","MANQUEHUE NORTE 160, OFICINA 91","SANTIAGO","UF","3.92",51,0,0.0768,"0",0,0,0,"0"
"EP",146,5359,2025-11-03,2025-12-01,2509628,476829,2986457,2986457,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","04/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 63,37. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 2509628 MontoItem: 2509628",NA,30,2025-11-04,0,"EP","SEGUROS","LAS CONDES","AVENIDA APOQUINDO 4501, OFICINA 2003","SANTIAGO","UF","63.37",701,701,0.0306,"4.58E-2",1001,1001,0.0039,"5.8999999999999999E-3"
"EO",145,5358,2025-11-03,2025-12-01,84750,16103,100853,100853,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","23/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,14. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 84750 MontoItem: 84750",NA,30,2025-12-23,0,"EO","ACTIVIDADES DE CONSULTORIA DE GESTION","LAS CONDES","APOQUINDO 6410, OFI. 605","SANTIAGO","UF","2.14",20,0,0.0966,"0",20,0,0.0102,"0"
"EN",144,5357,2025-11-03,2025-12-01,547706,104064,651770,651770,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","15/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 13,83. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 547706 MontoItem: 547706",NA,30,2025-12-15,0,"EN","OTRAS ACTIVIDADES DE TRANSPORTE POR VIA","HUALPÉN","AUTOPISTA CCP-THNO 8696, OFICINA 707","CONCEPCIÓN","UF","13.83",51,121,0.0595,"8.9200000000000002E-2",0,0,0,"0"
"EM",143,5356,2025-11-03,2025-12-01,185737,35290,221027,221027,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","26/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 4,69. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 185737 MontoItem: 185737",NA,30,2025-11-26,0,"EM","ACTIVIDADES DE CONSULTORIA DE INFORMATIC","HUECHURABA","AV. DEL VALLE 928, OF. 504, CIUDAD EMPRESARIAL","SANTIAGO","UF","4.6900000000000004",101,0,0.0464,"0",0,0,0,"0"
"EL",142,5355,2025-11-03,2025-12-01,628496,119414,747910,747910,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","28/11/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 15,87. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 628496 MontoItem: 628496",NA,30,2025-11-28,0,"EL","ACTIVIDADES DE SERVICIOS DE APOYO A LAS","TEMUCO","AV. ALEMANIA 0999 OFICINA 808","TEMUCO","UF","15.87",201,150,0.0339,"5.0799999999999998E-2",350,0,0.0041,"0"
"EK",141,5354,2025-11-03,2025-12-01,95047,18059,113106,113106,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","03/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 2,4. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 95047 MontoItem: 95047",NA,30,2025-12-03,0,"EK","ACTIVIDADES JURIDICAS","LAS CONDES","ISIDORA GOYENECHEA 3120, PISO 8","SANTIAGO","UF","2.4",25,10,0.06,"0.09",0,0,0,"0"
"EJ",140,5353,2025-11-03,2025-12-01,78810,14974,93784,93784,0,0,0,"CLP","Factura Afecta","Pagado",NA,NA,NA,NA,"01/12/2025","05/12/2025",NA,NA,"Si",NA,NA,NA,NA,"*** LINEAS DETALLE DTE *** NroLinDet: 1 NmbItem: SHERIFF DscItem: Servicio Mensual Octubre 2025 _UF 1,99. El detalle se puede revisar en la sección PLAN de la plataforma. QtyItem: 1 PrcItem: 78810 MontoItem: 78810",NA,30,2025-12-05,0,"EJ","PUBLICIDAD","SANTIAGO","PASEO AHUMADA 236, OFICINA 510","SANTIAGO","UF","1.99",10,5,0.1136,"0.1704",0,0,0,"0"
